original_material_code,cpse,source_system,original_description,material_type,material_group,commodity_class,material,material_grade,standard,nominal_size,size_unit,pressure_class,pressure_unit,schedule,thickness,thickness_unit,voltage,voltage_unit,temperature_rating,temperature_unit,thread_type,face_type,connection_type,outer_diameter,outer_diameter_unit,cross_section,cross_section_unit,cores,length,length_unit,weight,weight_unit,manufacturer,manufacturer_part_number,canonical_uom,criticality,source_type,source_record_id,source_file,source_row,ingestion_timestamp,processing_version
,,iocl.com,8133/8120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,REAL_PUBLIC_SOURCE,M000027,cpse_material_corpus.csv,26,2026-09-19T00:42:48.205395,1.0
,,iocl.com,81621/81622/81623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,REAL_PUBLIC_SOURCE,M000028,cpse_material_corpus.csv,27,2026-09-19T00:42:48.205395,1.0
,,iocl.com,A3 Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.,,REAL_PUBLIC_SOURCE,M000029,cpse_material_corpus.csv,28,2026-09-19T00:42:48.205395,1.0
,,iocl.com,ACDB Panel (Nos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nos.,,REAL_PUBLIC_SOURCE,M000030,cpse_material_corpus.csv,29,2026-09-19T00:42:48.205395,1.0
,,iocl.com,AMC for micro gas chromatograph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lot,,REAL_PUBLIC_SOURCE,M000031,cpse_material_corpus.csv,30,2026-09-19T00:42:48.205395,1.0
,,iocl.com,AMC of BELSORP HP instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lot,,REAL_PUBLIC_SOURCE,M000032,cpse_material_corpus.csv,31,2026-09-19T00:42:48.205395,1.0
,,iocl.com,AMC of BET Surface area Analyzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lot,,REAL_PUBLIC_SOURCE,M000033,cpse_material_corpus.csv,32,2026-09-19T00:42:48.205395,1.0
,,iocl.com,AMC of DCN Analyzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,REAL_PUBLIC_SOURCE,M000034,cpse_material_corpus.csv,33,2026-09-19T00:42:48.205395,1.0
,,iocl.com,AMC of Hydrogen Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lot,,REAL_PUBLIC_SOURCE,M000035,cpse_material_corpus.csv,34,2026-09-19T00:42:48.205395,1.0
,,iocl.com,AMC of MATLAB software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,REAL_PUBLIC_SOURCE,M000036,cpse_material_corpus.csv,35,2026-09-19T00:42:48.205395,1.0
,,iocl.com,"AO1076 (Octadecyl β – (3,5-di- tert - butyl-4-hydroxy phenyl)-propionate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT,,REAL_PUBLIC_SOURCE,M000037,cpse_material_corpus.csv,36,2026-09-19T00:42:48.205395,1.0
,,iocl.com,"AO1076 (Octadecyl β – (3,5-di- tert -butyl-4- hydroxy phenyl)- propionate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT,,REAL_PUBLIC_SOURCE,M000038,cpse_material_corpus.csv,37,2026-09-19T00:42:48.205395,1.0
,,iocl.com,"AO1076 (Octadecyl β – (3,5-di- tert -butyl-4-hydroxy phenyl)- propionate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT,,REAL_PUBLIC_SOURCE,M000039,cpse_material_corpus.csv,38,2026-09-19T00:42:48.205395,1.0
,,iocl.com,API 579 Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,REAL_PUBLIC_SOURCE,M000040,cpse_material_corpus.csv,39,2026-09-19T00:42:48.205395,1.0
,,iocl.com,API 610 Centrifugal Pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.,,REAL_PUBLIC_SOURCE,M000041,cpse_material_corpus.csv,40,2026-09-19T00:42:48.205395,1.0
,,iocl.com,API 6D Ball Valves (Nos),,,Valve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nos.,,REAL_PUBLIC_SOURCE,M000042,cpse_material_corpus.csv,41,2026-09-19T00:42:48.205395,1.0
,,iocl.com,API 6D Valves (Nos),,,Valve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nos.,,REAL_PUBLIC_SOURCE,M000043,cpse_material_corpus.csv,42,2026-09-19T00:42:48.205395,1.0
,,iocl.com,ATF (Aviation Turbine fuel) Merox catalyst – Pre impregnated activated charcoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,REAL_PUBLIC_SOURCE,M000044,cpse_material_corpus.csv,43,2026-09-19T00:42:48.205395,1.0
,,iocl.com,ATF Merox Catalyst - Pre impregnated activated charcoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,REAL_PUBLIC_SOURCE,M000045,cpse_material_corpus.csv,44,2026-09-19T00:42:48.205395,1.0
,,iocl.com,Abel flash point apparatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,REAL_PUBLIC_SOURCE,M000046,cpse_material_corpus.csv,45,2026-09-19T00:42:48.205395,1.0
,,iocl.com,Acrylic plates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,REAL_PUBLIC_SOURCE,M000047,cpse_material_corpus.csv,46,2026-09-19T00:42:48.205395,1.0
,,iocl.com,Additive dosing machines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nos.,,REAL_PUBLIC_SOURCE,M000048,cpse_material_corpus.csv,47,2026-09-19T00:42:48.205395,1.0
,,iocl.com,Advanced Metallurgical Microscope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,REAL_PUBLIC_SOURCE,M000049,cpse_material_corpus.csv,48,2026-09-19T00:42:48.205395,1.0
,,iocl.com,Agitator & Mixer Spares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lot,,REAL_PUBLIC_SOURCE,M000050,cpse_material_corpus.csv,49,2026-09-19T00:42:48.205395,1.0
,,iocl.com,Air Compressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nos.,,REAL_PUBLIC_SOURCE,M000051,cpse_material_corpus.csv,50,2026-09-19T00:42:48.205395,1.0
,,iocl.com,Air Conditioner Spares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lot,,REAL_PUBLIC_SOURCE,M000052,cpse_material_corpus.csv,51,2026-09-19T00:42:48.205395,1.0
,,iocl.com,Air Dryer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nos.,,REAL_PUBLIC_SOURCE,M000053,cpse_material_corpus.csv,52,2026-09-19T00:42:48.205395,1.0
,,iocl.com,Air Ends of Screw Compressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nos.,,REAL_PUBLIC_SOURCE,M000054,cpse_material_corpus.csv,53,2026-09-19T00:42:48.205395,1.0
,,iocl.com,Alkyl Amine Ethoxylate ( ATMER 163 ) - for neutralization of Catalyst & Co catalyst and works as anti- static agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT,,REAL_PUBLIC_SOURCE,M000055,cpse_material_corpus.csv,54,2026-09-19T00:42:48.205395,1.0
,,iocl.com,Analyser in Stack & ambient air quality measurement for PM2.5 / PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nos.,,REAL_PUBLIC_SOURCE,M000056,cpse_material_corpus.csv,55,2026-09-19T00:42:48.205395,1.0
,,iocl.com,Analytical balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nos,,REAL_PUBLIC_SOURCE,M000057,cpse_material_corpus.csv,56,2026-09-19T00:42:48.205395,1.0
,,iocl.com,"Anitoxidant AO 3114(1,3,5- Tris(3,5-di-tert-butyl-4- hydroxy benzyl)-s-triazine- 2,4,6-(1H,3H,5H)trione) - specialized vis- breaking chemical used for speci fic PP grade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT,,REAL_PUBLIC_SOURCE,M000058,cpse_material_corpus.csv,57,2026-09-19T00:42:48.205395,1.0
,,iocl.com,"Anitoxidant AO 3114(1,3,5-Tris(3,5-di- tert-butyl-4-hydroxy benzyl)-s-triazine-2,4,6- (1H,3H,5H)trione) - specialized vis- breaking chemical used for speci fic PP grade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT,,REAL_PUBLIC_SOURCE,M000059,cpse_material_corpus.csv,58,2026-09-19T00:42:48.205395,1.0
,,iocl.com,"Anti Oxidant (AO 1010) Pentaerythritol tetrakis(3- (3,5-di-tert- butyl-4- hydroxyphenyl)propionat e)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT,,REAL_PUBLIC_SOURCE,M000060,cpse_material_corpus.csv,59,2026-09-19T00:42:48.205395,1.0
